,full_paths,classes,labels,execution
0,/home/angepapa/PycharmProjects/Mobile-vit/calteck_256/256_ObjectCategories/001.ak47/001_0079.jpg,001.ak47,0,train
1,/home/angepapa/PycharmProjects/Mobile-vit/calteck_256/256_ObjectCategories/001.ak47/001_0004.jpg,001.ak47,0,train
2,/home/angepapa/PycharmProjects/Mobile-vit/calteck_256/256_ObjectCategories/001.ak47/001_0030.jpg,001.ak47,0,train
3,/home/angepapa/PycharmProjects/Mobile-vit/calteck_256/256_ObjectCategories/001.ak47/001_0037.jpg,001.ak47,0,train
4,/home/angepapa/PycharmProjects/Mobile-vit/calteck_256/256_ObjectCategories/001.ak47/001_0065.jpg,001.ak47,0,train
5,/home/angepapa/PycharmProjects/Mobile-vit/calteck_256/256_ObjectCategories/001.ak47/001_0005.jpg,001.ak47,0,train
6,/home/angepapa/PycharmProjects/Mobile-vit/calteck_256/256_ObjectCategories/001.ak47/001_0053.jpg,001.ak47,0,train
7,/home/angepapa/PycharmProjects/Mobile-vit/calteck_256/256_ObjectCategories/001.ak47/001_0009.jpg,001.ak47,0,train
8,/home/angepapa/PycharmProjects/Mobile-vit/calteck_256/256_ObjectCategories/001.ak47/001_0083.jpg,001.ak47,0,train
9,/home/angepapa/PycharmProjects/Mobile-vit/calteck_256/256_ObjectCategories/001.ak47/001_0062.jpg,001.ak47,0,train
10,/home/angepapa/PycharmProjects/Mobile-vit/calteck_256/256_ObjectCategories/001.ak47/001_0080.jpg,001.ak47,0,train
11,/home/angepapa/PycharmProjects/Mobile-vit/calteck_256/256_ObjectCategories/001.ak47/001_0064.jpg,001.ak47,0,train
12,/home/angepapa/PycharmProjects/Mobile-vit/calteck_256/256_ObjectCategories/001.ak47/001_0018.jpg,001.ak47,0,train
13,/home/angepapa/PycharmProjects/Mobile-vit/calteck_256/256_ObjectCategories/001.ak47/001_0012.jpg,001.ak47,0,train
14,/home/angepapa/PycharmProjects/Mobile-vit/calteck_256/256_ObjectCategories/001.ak47/001_0022.jpg,001.ak47,0,train
15,/home/angepapa/PycharmProjects/Mobile-vit/calteck_256/256_ObjectCategories/001.ak47/001_0058.jpg,001.ak47,0,train
16,/home/angepapa/PycharmProjects/Mobile-vit/calteck_256/256_ObjectCategories/001.ak47/001_0019.jpg,001.ak47,0,train
